fecha,turno,employee_id,documento,moneda,importe,isla,autoriza
08/12/2018,2,2,331,S,400,2,
08/12/2018,2,2,332,S,330,2,
08/12/2018,2,2,333,S,300,2,
08/12/2018,2,2,334,S,300,2,
08/12/2018,2,2,335,S,300,2,
08/12/2018,3,7,336,S,230,2,C
08/12/2018,3,7,337,S,500,2,C
09/12/2018,1,1,338,S,700,2,
09/12/2018,1,1,339,S,550,2,
09/12/2018,1,1,340,S,500,2,
09/12/2018,1,1,341,S,300,2,
09/12/2018,1,1,342,S,460,2,
09/12/2018,1,1,343,S,540,2,
09/12/2018,2,2,344,S,300,2,
09/12/2018,2,2,345,S,300,2,
09/12/2018,2,2,346,S,150,2,
09/12/2018,2,2,347,S,340,2,
09/12/2018,2,2,348,S,160,2,
09/12/2018,2,2,349,S,300,2,
09/12/2018,2,2,350,S,200,2,
09/12/2018,2,2,351,S,100,2,
09/12/2018,3,5,352,S,300,2,CONFORME
09/12/2018,3,5,353,S,290,2,CONFORME
09/12/2018,3,5,354,S,214.5,2,CONFORME
10/12/2018,1,1,355,S,600,2,
10/12/2018,1,1,356,S,350,2,
10/12/2018,1,1,357,S,400,2,
10/12/2018,1,1,358,S,300,2,
10/12/2018,1,1,359,S,300,2,
10/12/2018,1,1,360,S,450,2,
10/12/2018,1,1,361,S,400,2,
10/12/2018,2,7,362,S,400,2,C
10/12/2018,2,7,363,S,400,2,C
10/12/2018,2,7,364,S,400,2,C
10/12/2018,2,7,365,S,500,2,C
10/12/2018,2,7,366,S,500,2,C
10/12/2018,2,7,367,S,600,2,C
10/12/2018,3,6,368,S,226,2,
10/12/2018,3,6,369,S,300,2,SI
10/12/2018,3,6,370,S,193,2,S
10/12/2018,3,6,371,S,660,2,SI
11/12/2018,1,1,372,S,400,2,
11/12/2018,1,1,373,S,400,2,
11/12/2018,1,1,374,S,400,2,
11/12/2018,1,1,375,S,700,2,
11/12/2018,1,1,376,S,350,2,
11/12/2018,1,1,377,S,530,2,
11/12/2018,1,1,378,S,397.8,2,
11/12/2018,2,4,379,S,400,2,
11/12/2018,2,4,380,S,200,2,
11/12/2018,2,4,381,S,400,2,
11/12/2018,2,4,382,S,250,2,
11/12/2018,2,4,383,S,420,2,
11/12/2018,2,4,384,S,340,2,
11/12/2018,2,4,385,S,200,2,
11/12/2018,2,4,386,S,270,2,
11/12/2018,2,4,387,S,91.8,2,
11/12/2018,2,2,388,S,500,2,
11/12/2018,2,2,389,S,190,2,
11/12/2018,2,2,390,S,170,2,
11/12/2018,2,2,391,S,320,2,
11/12/2018,2,2,392,S,300,2,
11/12/2018,2,2,393,S,250,2,
11/12/2018,3,1,394,S,1000,2,
11/12/2018,3,1,395,S,950,2,
11/12/2018,3,1,396,S,1050,2,
11/12/2018,3,1,397,S,299.4,2,
11/12/2018,3,1,398,S,302.7,2,
12/12/2018,1,6,399,S,300,2,SI
12/12/2018,1,6,400,S,200,2,SI
12/12/2018,1,6,401,S,250,2,S
12/12/2018,1,6,402,S,200,2,
